chem_name_standard,alias,chem_type
CORR_INHIBITOR,CI,corrosion
CORR_INHIBITOR,CORROSION INHIBITOR,corrosion
SCALE_INHIBITOR,SI,scale
SCALE_INHIBITOR,SCALE TREATMENT,scale
PARAFFIN_INHIBITOR,PI,paraffin
PARAFFIN_INHIBITOR,PARAFFIN TREATMENT,paraffin
BIOCIDE,BIOCIDE,bacteria
DEFOAMER,DF,defoamer
